type,constituency,station,candidat,date_start,date_end,time_candidat,time_support,time_mention
presidential,national,C NEWS,Pecresse Valerie,2022-01-16,2022-01-30,23.9,404.3167,130.2167
presidential,national,C NEWS,Philippot Florian,2022-01-01,2022-01-16,44.9333,0,0
presidential,national,C NEWS,Philippot Florian,2022-01-16,2022-01-30,24.8167,0,2.0333
presidential,national,C NEWS,Poutou Philippe,2022-01-16,2022-01-30,13.1667,2.7833,2.6
presidential,national,C NEWS,Roussel Fabien,2022-01-01,2022-01-16,59.6,11.9333,21.7833
presidential,national,C NEWS,Roussel Fabien,2022-01-16,2022-01-30,19.05,30.9667,11.85
presidential,national,C NEWS,Taubira Christiane,2022-01-01,2022-01-16,63.6833,0,40.65
presidential,national,C NEWS,Taubira Christiane,2022-01-16,2022-01-30,12.25,7.6167,8.9
presidential,national,C NEWS,Thouy Helene,2022-01-01,2022-01-16,12.6667,0,0
presidential,national,C NEWS,Thouy Helene,2022-01-16,2022-01-30,0,0,0
presidential,national,C NEWS,Zemmour Eric,2022-01-01,2022-01-16,112.55,196.5167,213.1167
presidential,national,C NEWS,Zemmour Eric,2022-01-16,2022-01-30,162.45,149.2,538.0333
presidential,national,Euronews,Hidalgo Anne,2022-01-01,2022-01-16,0,0,3.5833
presidential,national,Euronews,Hidalgo Anne,2022-01-16,2022-01-30,0,0,0
presidential,national,Euronews,Jadot Yannick,2022-01-01,2022-01-16,0,0,3.5833
presidential,national,Euronews,Jadot Yannick,2022-01-16,2022-01-30,21.1833,0,12.7667
presidential,national,Euronews,Le Pen Marine,2022-01-16,2022-01-30,0,0,1.7333
presidential,national,Euronews,Macron Emmanuel,2022-01-16,2022-01-30,0,0,11.6167
presidential,national,Euronews,Melenchon Jean Luc,2022-01-01,2022-01-16,0,0,4.3
presidential,national,Euronews,Melenchon Jean Luc,2022-01-16,2022-01-30,0,0,12.1333
presidential,national,Euronews,Pecresse Valerie,2022-01-16,2022-01-30,0,0,10.4
presidential,national,Euronews,Taubira Christiane,2022-01-01,2022-01-16,15.05,0,32.4167
presidential,national,Euronews,Taubira Christiane,2022-01-16,2022-01-30,0,0,0
presidential,national,Euronews,Zemmour Eric,2022-01-16,2022-01-30,0,0,5.4167
presidential,national,Europe 1,Hidalgo Anne,2022-01-01,2022-01-16,43.85,85,36.4167
presidential,national,Europe 1,Hidalgo Anne,2022-01-16,2022-01-30,1.55,18.2333,0.25
presidential,national,Europe 1,Jadot Yannick,2022-01-01,2022-01-16,1.4833,26.3333,0
presidential,national,Europe 1,Jadot Yannick,2022-01-16,2022-01-30,3.5667,13.5167,0.9333
presidential,national,Europe 1,Lassalle Jean,2022-01-16,2022-01-30,27.35,0,0
presidential,national,Europe 1,Le Pen Marine,2022-01-01,2022-01-16,34.2667,78.1167,15.5167
presidential,national,Europe 1,Le Pen Marine,2022-01-16,2022-01-30,15.9833,3.5,9.95
presidential,national,Europe 1,Macron Emmanuel,2022-01-01,2022-01-16,8.8167,70.8,101.3667
presidential,national,Europe 1,Macron Emmanuel,2022-01-16,2022-01-30,93.1833,122.8167,11.85
presidential,national,Europe 1,Melenchon Jean Luc,2022-01-01,2022-01-16,4.25,14.8,0
presidential,national,Europe 1,Melenchon Jean Luc,2022-01-16,2022-01-30,1.6833,0,3.45
presidential,national,Europe 1,Pecresse Valérie,2022-01-01,2022-01-16,51.5833,158.7,32.3833
presidential,national,Europe 1,Pecresse Valérie,2022-01-16,2022-01-30,44.8333,145.7,6.4333
presidential,national,Europe 1,Roussel Fabien,2022-01-01,2022-01-16,30.75,0,6.8333
presidential,national,Europe 1,Roussel Fabien,2022-01-16,2022-01-30,27.6333,0,2.9833
presidential,national,Europe 1,Taubira Christiane,2022-01-01,2022-01-16,6.05,0,0.6167
presidential,national,Europe 1,Taubira Christiane,2022-01-16,2022-01-30,2.5167,0,1.4
presidential,national,Europe 1,Zemmour Eric,2022-01-01,2022-01-16,49.1167,39.05,20.4
presidential,national,Europe 1,Zemmour Eric,2022-01-16,2022-01-30,60.2,11.1333,6.4167
presidential,national,France 2,Arthaud Nathalie,2022-01-16,2022-01-30,0,0.2333,0
presidential,national,France 2,Asselineau Francois,2022-01-16,2022-01-30,10.4167,0,0.8833
presidential,national,France 2,Dupont Aignan Nicolas,2022-01-01,2022-01-16,10,0,1.1667
presidential,national,France 2,Dupont Aignan Nicolas,2022-01-16,2022-01-30,5.4167,0,0.65
presidential,national,France 2,Hidalgo Anne,2022-01-01,2022-01-16,11.7167,0.7667,0.6
presidential,national,France 2,Hidalgo Anne,2022-01-16,2022-01-30,19.4,0.7667,2.1167
presidential,national,France 2,Jadot Yannick,2022-01-01,2022-01-16,0.6,0,1.6333
presidential,national,France 2,Jadot Yannick,2022-01-16,2022-01-30,11.3,0,3.5667
presidential,national,France 2,Koenig Gaspard,2022-01-01,2022-01-16,10.0167,0,1.0333
presidential,national,France 2,Koenig Gaspard,2022-01-16,2022-01-30,0,0,0
presidential,national,France 2,Larrouturou Pierre,2022-01-16,2022-01-30,9.7167,0,0.7667
presidential,national,France 2,Lassalle Jean,2022-01-16,2022-01-30,4.8167,0,0.1667
presidential,national,France 2,Le Pen Marine,2022-01-01,2022-01-16,0.7167,6.45,4.6667
presidential,national,France 2,Le Pen Marine,2022-01-16,2022-01-30,1.3333,10.8667,3.9667
presidential,national,France 2,Macron Emmanuel,2022-01-01,2022-01-16,0.55,6.1167,1.1667
presidential,national,France 2,Macron Emmanuel,2022-01-16,2022-01-30,1.0333,18,4.5333
presidential,national,France 2,Melenchon Jean Luc,2022-01-01,2022-01-16,5.8833,10.6,7.45
presidential,national,France 2,Melenchon Jean Luc,2022-01-16,2022-01-30,0.6833,2.6833,1.75
presidential,national,France 2,Pecresse Valerie,2022-01-01,2022-01-16,40.3167,4.8833,9.8667
presidential,national,France 2,Pecresse Valerie,2022-01-16,2022-01-30,2.2333,11.5167,2.8667
presidential,national,France 2,Philippot Florian,2022-01-01,2022-01-16,0,0,0.2167
presidential,national,France 2,Philippot Florian,2022-01-16,2022-01-30,0,0,0
presidential,national,France 2,Poutou Philippe,2022-01-16,2022-01-30,18.3167,0,2.8333
presidential,national,France 2,Roussel Fabien,2022-01-16,2022-01-30,10.5,5.8167,7.6333
presidential,national,France 2,Taubira Christiane,2022-01-01,2022-01-16,11.1167,0,5.3833
presidential,national,France 2,Taubira Christiane,2022-01-16,2022-01-30,0.2667,0,2.4833
presidential,national,France 2,Zemmour Eric,2022-01-01,2022-01-16,13.1833,0,3.3
presidential,national,France 2,Zemmour Eric,2022-01-16,2022-01-30,1.3833,10.3,7.9
