month,media,tv,radio,prog_type,nom,appartenance,party_abb,time,path
2021-05-01,Sud Radio,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,6,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31-05-2021.xlsx
2021-01-01,France Info,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,2,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31%20janvier%202021.xlsx
2021-01-01,RTL,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,9,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31%20janvier%202021.xlsx
2021-01-01,Sud Radio,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,13,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31%20janvier%202021.xlsx
2021-03-01,France Info,FALSE,TRUE,JT,Saint Martin Laurent,La République En Marche,LREM,1,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31%20mars%202021.xlsx
2021-03-01,France Info,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,17,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31%20mars%202021.xlsx
2021-03-01,BFM,FALSE,TRUE,MAG,Saint Martin Laurent,La République En Marche,LREM,55,../raw_data/final/2021//RADIO_TP%20PERSONNALITES_1er-31%20mars%202021.xlsx
2021-04-01,TF1,TRUE,FALSE,MAG,Saint Martin Laurent,La République En Marche,LREM,24,../raw_data/final/2021//TV%20GENERALISTES_TP%20PERSONNALITES%201er-30-04-2021.xlsx
2021-03-01,RMC Story,TRUE,FALSE,MAG,Saint Martin Laurent,La République En Marche,LREM,7,../raw_data/final/2021//TV%20GENERALISTES_TP%20PERSONNALITES%201er-31-03-2021.xlsx
2021-05-01,TF1,TRUE,FALSE,MAG,Saint Martin Laurent,La République En Marche,LREM,24,../raw_data/final/2021//TV%20GENERALISTES_TP%20PERSONNALITES%201er-31-05-2021.xlsx
2021-02-01,CNEWS,TRUE,FALSE,MAG,Woerth Eric,Les Républicains,LR,1,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-04-01,France Info TV,TRUE,FALSE,PROG,Woerth Eric,Les Républicains,LR,6,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2030-04-2021.xlsx
2021-06-01,France Info TV,TRUE,FALSE,JT,Woerth Eric,Les Républicains,LR,7,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2030-06-2021.xlsx
2021-03-01,LCI,TRUE,FALSE,MAG,Woerth Eric,Les Républicains,LR,1,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-03-2021.xlsx
2021-05-01,LCI,TRUE,FALSE,MAG,Woerth Eric,Les Républicains,LR,17,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er%20au%2031-05-2021.xlsx
2021-07-01,France Info TV,TRUE,FALSE,JT,Woerth Eric,Les Républicains,LR,9,../raw_data/final/2021//Personnalites_Chaine_d_information_01-07-2021_31-07-2021.xlsx
2021-07-01,LCI,TRUE,FALSE,MAG,Woerth Eric,Les Républicains,LR,1,../raw_data/final/2021//Personnalites_Chaine_d_information_01-07-2021_31-07-2021.xlsx
2021-07-01,France Info TV,TRUE,FALSE,PROG,Woerth Eric,Les Républicains,LR,8,../raw_data/final/2021//Personnalites_Chaine_d_information_01-07-2021_31-07-2021.xlsx
2021-09-01,BFM TV,TRUE,FALSE,JT,Woerth Eric,Les Républicains,LR,2,../raw_data/final/2021//Personnalites_Chaine_d_information_01-09-2021_30-09-2021.xlsx
2021-10-01,BFM TV,TRUE,FALSE,MAG,Woerth Eric,Les Républicains,LR,13,../raw_data/final/2021//Personnalites_Chaine_d_information_01-10-2021_31-10-2021.xlsx
2021-10-01,LCI,TRUE,FALSE,MAG,Woerth Eric,Les Républicains,LR,19,../raw_data/final/2021//Personnalites_Chaine_d_information_01-10-2021_31-10-2021.xlsx
2021-07-01,France 2,TRUE,FALSE,JT,Woerth Eric,Les Républicains,LR,19,../raw_data/final/2021//Personnalites_Chaine_generaliste_01-07-2021_31-07-2021.xlsx
2021-07-01,France 5,TRUE,FALSE,MAG,Woerth Eric,Les Républicains,LR,1,../raw_data/final/2021//Personnalites_Chaine_generaliste_01-07-2021_31-07-2021.xlsx
2021-08-01,Europe 1,FALSE,TRUE,JT,Woerth Eric,Les Républicains,LR,4,../raw_data/final/2021//Personnalites_Radio_01-08-2021_31-08-2021.xlsx
2021-08-01,RTL,FALSE,TRUE,MAG,Woerth Eric,Les Républicains,LR,5,../raw_data/final/2021//Personnalites_Radio_01-08-2021_31-08-2021.xlsx
2021-09-01,France Inter,FALSE,TRUE,JT,Woerth Eric,Les Républicains,LR,1,../raw_data/final/2021//Personnalites_Radio_01-09-2021_30-09-2021.xlsx
2021-09-01,France Info,FALSE,TRUE,JT,Woerth Eric,Les Républicains,LR,1,../raw_data/final/2021//Personnalites_Radio_01-09-2021_30-09-2021.xlsx
2021-09-01,France Info,FALSE,TRUE,MAG,Woerth Eric,Les Républicains,LR,13,../raw_data/final/2021//Personnalites_Radio_01-09-2021_30-09-2021.xlsx
2021-09-01,BFM,FALSE,TRUE,MAG,Woerth Eric,Les Républicains,LR,30,../raw_data/final/2021//Personnalites_Radio_01-09-2021_30-09-2021.xlsx
2021-09-01,Europe 1,FALSE,TRUE,MAG,Woerth Eric,Les Républicains,LR,15,../raw_data/final/2021//Personnalites_Radio_01-09-2021_30-09-2021.xlsx
2021-10-01,France Inter,FALSE,TRUE,MAG,Woerth Eric,Les Républicains,LR,6,../raw_data/final/2021//Personnalites_Radio_01-10-2021_31-10-2021.xlsx
2021-11-01,France Info,FALSE,TRUE,JT,Woerth Eric,Les Républicains,LR,8,../raw_data/final/2021//Personnalites_Radio_01-11-2021_30-11-2021.xlsx
